날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-21,매일신문,문화,1,대구,74,중립
2026-09-21,매일신문,문화,2,여권,25,중립
2026-09-21,매일신문,문화,3,바람,21,중립
2026-09-21,매일신문,문화,4,풍경,20,중립
2026-09-21,매일신문,문화,5,문화,19,중립
2026-09-21,매일신문,문화,6,역사,19,중립
2026-09-21,매일신문,문화,7,저수지,18,중립
2026-09-21,매일신문,문화,8,시간,18,중립
2026-09-21,매일신문,문화,9,부모,17,중립
2026-09-21,매일신문,문화,10,도시,17,중립
2026-09-21,매일신문,문화,11,전시,17,긍정
2026-09-21,매일신문,문화,12,시대,16,중립
2026-09-21,매일신문,문화,13,예술,16,중립
2026-09-21,매일신문,문화,14,무대,16,중립
2026-09-21,매일신문,문화,15,문학,15,중립
2026-09-21,매일신문,문화,16,귀성,15,중립
2026-09-21,매일신문,문화,17,지역,15,중립
2026-09-21,매일신문,문화,18,지원,15,긍정
2026-09-21,매일신문,문화,19,공간,14,중립
2026-09-21,매일신문,문화,20,사회,14,중립
2026-09-21,매일신문,문화,21,이름,14,중립
2026-09-21,매일신문,문화,22,작가,14,중립
2026-09-21,매일신문,문화,23,기준,14,중립
2026-09-21,매일신문,문화,24,음악,13,중립
2026-09-21,매일신문,문화,25,공연,13,긍정
2026-09-21,매일신문,문화,26,지금,13,중립
2026-09-21,매일신문,문화,27,영화,13,중립
2026-09-21,매일신문,문화,28,이야기,12,중립
2026-09-21,매일신문,문화,29,가족,12,중립
2026-09-21,매일신문,문화,30,진흥원,12,중립
2026-09-21,매일신문,문화,31,사이,12,중립
2026-09-21,매일신문,문화,32,서해,12,중립
2026-09-21,매일신문,문화,33,학생,11,중립
2026-09-21,매일신문,문화,34,재즈,11,중립
2026-09-21,매일신문,문화,35,김제,11,중립
2026-09-21,매일신문,문화,36,유효,11,중립
2026-09-21,매일신문,문화,37,일대,11,중립
2026-09-21,매일신문,문화,38,사랑,11,중립
2026-09-21,매일신문,문화,39,기간,11,중립
2026-09-21,매일신문,문화,40,나라,11,중립
2026-09-21,매일신문,문화,41,국악,10,중립
2026-09-21,매일신문,문화,42,시민,10,중립
2026-09-21,매일신문,문화,43,전통,10,중립
2026-09-21,매일신문,문화,44,관장,10,중립
2026-09-21,매일신문,문화,45,긴급,9,중립
2026-09-21,매일신문,문화,46,특별전,9,중립
2026-09-21,매일신문,문화,47,전자,9,중립
2026-09-21,매일신문,문화,48,신청,9,중립
2026-09-21,매일신문,문화,49,소리,9,중립
2026-09-21,매일신문,문화,50,들녘,9,중립
2026-09-21,매일신문,문화,51,한국,8,중립
2026-09-21,매일신문,문화,52,발급,8,중립
2026-09-21,매일신문,문화,53,입국,8,중립
2026-09-21,매일신문,문화,54,콘서트,8,중립
2026-09-21,매일신문,문화,55,악기,8,중립
2026-09-21,매일신문,문화,56,비엔날레,8,중립
2026-09-21,매일신문,문화,57,운영,8,중립
2026-09-21,매일신문,문화,58,지평선,8,중립
2026-09-21,매일신문,문화,59,가을,8,중립
2026-09-21,매일신문,문화,60,공원,8,중립
2026-09-21,매일신문,문화,61,인공,8,중립
2026-09-21,매일신문,문화,62,기록,8,중립
2026-09-21,매일신문,문화,63,장르,8,중립
2026-09-21,매일신문,문화,64,자연,8,중립
2026-09-21,매일신문,문화,65,인력,8,중립
2026-09-21,매일신문,문화,66,거부,7,부정
2026-09-21,매일신문,문화,67,여행,7,중립
2026-09-21,매일신문,문화,68,과정,7,중립
2026-09-21,매일신문,문화,69,시장,7,중립
2026-09-21,매일신문,문화,70,지능,7,중립
2026-09-21,매일신문,문화,71,자신,7,중립
2026-09-21,매일신문,문화,72,외교부,7,중립
2026-09-21,매일신문,문화,73,대상,7,중립
2026-09-21,매일신문,문화,74,학예,7,중립
2026-09-21,매일신문,문화,75,대구시,7,중립
2026-09-21,매일신문,문화,76,고향,7,중립
2026-09-21,매일신문,문화,77,이창현,6,중립
2026-09-21,매일신문,문화,78,김준수,6,중립
2026-09-21,매일신문,문화,79,거문고,6,중립
2026-09-21,매일신문,문화,80,소지음회,6,중립
2026-09-21,매일신문,문화,81,합천,6,중립
2026-09-21,매일신문,문화,82,대구미술관,6,중립
2026-09-21,매일신문,문화,83,질문,6,중립
2026-09-21,매일신문,문화,84,마을,6,중립
2026-09-21,매일신문,문화,85,중심,6,중립
2026-09-21,매일신문,문화,86,기억,6,중립
2026-09-21,매일신문,문화,87,유명,6,중립
2026-09-21,매일신문,문화,88,변화,6,중립
2026-09-21,매일신문,문화,89,전경,6,중립
2026-09-21,매일신문,문화,90,대표,6,중립
2026-09-21,매일신문,문화,91,아래,6,중립
2026-09-21,매일신문,문화,92,일반,6,중립
2026-09-21,매일신문,문화,93,다양,6,중립
2026-09-21,매일신문,문화,94,인천공항,6,중립
2026-09-21,매일신문,문화,95,여행객,6,중립
2026-09-21,매일신문,문화,96,비자,6,중립
2026-09-21,매일신문,문화,97,국가,6,중립
2026-09-21,매일신문,문화,98,작품,6,중립
2026-09-21,매일신문,문화,99,깃발,6,중립
2026-09-21,매일신문,문화,100,문예,6,중립
