날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-21,아시아경제,경제,1,버터,19,중립
2026-09-21,아시아경제,경제,2,임상,18,중립
2026-09-21,아시아경제,경제,3,미국,17,중립
2026-09-21,아시아경제,경제,4,지원,15,긍정
2026-09-21,아시아경제,경제,5,환자,15,중립
2026-09-21,아시아경제,경제,6,사용,15,중립
2026-09-21,아시아경제,경제,7,확대,14,긍정
2026-09-21,아시아경제,경제,8,김치,14,중립
2026-09-21,아시아경제,경제,9,제품,13,중립
2026-09-21,아시아경제,경제,10,수출,12,중립
2026-09-21,아시아경제,경제,11,쿠폰,12,중립
2026-09-21,아시아경제,경제,12,사업,11,중립
2026-09-21,아시아경제,경제,13,적립,11,중립
2026-09-21,아시아경제,경제,14,패션,11,중립
2026-09-21,아시아경제,경제,15,일본,11,중립
2026-09-21,아시아경제,경제,16,혜택,10,긍정
2026-09-21,아시아경제,경제,17,이벤트,10,중립
2026-09-21,아시아경제,경제,18,매트,10,중립
2026-09-21,아시아경제,경제,19,해양,10,중립
2026-09-21,아시아경제,경제,20,환경,10,중립
2026-09-21,아시아경제,경제,21,포인트,10,중립
2026-09-21,아시아경제,경제,22,롯데케미칼,9,중립
2026-09-21,아시아경제,경제,23,추석,9,중립
2026-09-21,아시아경제,경제,24,브랜드,9,중립
2026-09-21,아시아경제,경제,25,농심,9,중립
2026-09-21,아시아경제,경제,26,개발,9,중립
2026-09-21,아시아경제,경제,27,국내,9,중립
2026-09-21,아시아경제,경제,28,복원,8,중립
2026-09-21,아시아경제,경제,29,최대,8,긍정
2026-09-21,아시아경제,경제,30,워커힐,8,중립
2026-09-21,아시아경제,경제,31,중진공,8,중립
2026-09-21,아시아경제,경제,32,패션쇼,8,중립
2026-09-21,아시아경제,경제,33,순환,8,중립
2026-09-21,아시아경제,경제,34,기존,8,중립
2026-09-21,아시아경제,경제,35,행사,8,중립
2026-09-21,아시아경제,경제,36,공단,7,중립
2026-09-21,아시아경제,경제,37,유한양행,7,중립
2026-09-21,아시아경제,경제,38,팝업,7,중립
2026-09-21,아시아경제,경제,39,출시,7,긍정
2026-09-21,아시아경제,경제,40,지역,7,중립
2026-09-21,아시아경제,경제,41,투여,7,중립
2026-09-21,아시아경제,경제,42,연구,7,중립
2026-09-21,아시아경제,경제,43,지급,7,중립
2026-09-21,아시아경제,경제,44,참여,7,긍정
2026-09-21,아시아경제,경제,45,주문,7,중립
2026-09-21,아시아경제,경제,46,현지,7,중립
2026-09-21,아시아경제,경제,47,프리미엄,7,중립
2026-09-21,아시아경제,경제,48,금오도,6,중립
2026-09-21,아시아경제,경제,49,추진,6,중립
2026-09-21,아시아경제,경제,50,할인,6,중립
2026-09-21,아시아경제,경제,51,프로그램,6,중립
2026-09-21,아시아경제,경제,52,베르시포로신,6,중립
2026-09-21,아시아경제,경제,53,글로벌,6,중립
2026-09-21,아시아경제,경제,54,등록,6,중립
2026-09-21,아시아경제,경제,55,스토어,6,중립
2026-09-21,아시아경제,경제,56,셀트론,6,중립
2026-09-21,아시아경제,경제,57,생태,6,중립
2026-09-21,아시아경제,경제,58,다양,6,중립
2026-09-21,아시아경제,경제,59,대상,6,중립
2026-09-21,아시아경제,경제,60,세포,6,중립
2026-09-21,아시아경제,경제,61,치료,6,중립
2026-09-21,아시아경제,경제,62,고객,6,중립
2026-09-21,아시아경제,경제,63,운영,6,중립
2026-09-21,아시아경제,경제,64,특성,6,중립
2026-09-21,아시아경제,경제,65,기능,6,중립
2026-09-21,아시아경제,경제,66,판매,6,중립
2026-09-21,아시아경제,경제,67,진출,6,중립
2026-09-21,아시아경제,경제,68,온라인,6,중립
2026-09-21,아시아경제,경제,69,여수,5,중립
2026-09-21,아시아경제,경제,70,해초지,5,중립
2026-09-21,아시아경제,경제,71,후보,5,중립
2026-09-21,아시아경제,경제,72,물질,5,중립
2026-09-21,아시아경제,경제,73,공영,5,중립
2026-09-21,아시아경제,경제,74,섬유,5,중립
2026-09-21,아시아경제,경제,75,떡볶이,5,중립
2026-09-21,아시아경제,경제,76,대표,5,중립
2026-09-21,아시아경제,경제,77,국립공원,5,중립
2026-09-21,아시아경제,경제,78,협력,5,긍정
2026-09-21,아시아경제,경제,79,지속,5,중립
2026-09-21,아시아경제,경제,80,가능,5,중립
2026-09-21,아시아경제,경제,81,연계,5,중립
2026-09-21,아시아경제,경제,82,반응,5,중립
2026-09-21,아시아경제,경제,83,종양,5,중립
2026-09-21,아시아경제,경제,84,선정,5,긍정
2026-09-21,아시아경제,경제,85,준비,5,중립
2026-09-21,아시아경제,경제,86,한가위,5,중립
2026-09-21,아시아경제,경제,87,상품,5,중립
2026-09-21,아시아경제,경제,88,해외,5,중립
2026-09-21,아시아경제,경제,89,시장,5,중립
2026-09-21,아시아경제,경제,90,유통,5,중립
2026-09-21,아시아경제,경제,91,적용,5,중립
2026-09-21,아시아경제,경제,92,기업,5,중립
2026-09-21,아시아경제,경제,93,공개,4,중립
2026-09-21,아시아경제,경제,94,출발,4,중립
2026-09-21,아시아경제,경제,95,이노베이션,4,중립
2026-09-21,아시아경제,경제,96,대웅제약,4,중립
2026-09-21,아시아경제,경제,97,전역,4,중립
2026-09-21,아시아경제,경제,98,호주,4,중립
2026-09-21,아시아경제,경제,99,포토,4,중립
2026-09-21,아시아경제,경제,100,세라젬,4,중립
