날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-21,아시아경제,문화,긍정,1,안전,28,18.42,13,152,#0d2b5c,#0d2b5c,Y
2026-09-21,아시아경제,문화,긍정,2,우승,17,11.18,13,152,#1a3968,#1e3d6c,Y
2026-09-21,아시아경제,문화,긍정,3,협력,16,10.53,13,152,#274674,#2f4f7d,Y
2026-09-21,아시아경제,문화,긍정,4,참여,16,10.53,13,152,#345481,#41628d,Y
2026-09-21,아시아경제,문화,긍정,5,지원,11,7.24,13,152,#41628d,#52749e,Y
2026-09-21,아시아경제,문화,긍정,6,확대,10,6.58,13,152,#4d709a,#6387ae,Y
2026-09-21,아시아경제,문화,긍정,7,우수,9,5.92,13,152,#5b7ea6,#7499bf,Y
2026-09-21,아시아경제,문화,긍정,8,공연,9,5.92,13,152,#688bb2,#86accf,Y
2026-09-21,아시아경제,문화,긍정,9,감사,8,5.26,13,152,#7499bf,#97bee0,Y
2026-09-21,아시아경제,문화,긍정,10,성장,8,5.26,13,152,#82a7cb,#a8d0f0,Y
2026-09-21,아시아경제,문화,긍정,11,협약,7,4.61,13,152,#8eb5d8,,N
2026-09-21,아시아경제,문화,긍정,12,장학,7,4.61,13,152,#9bc2e4,,N
2026-09-21,아시아경제,문화,긍정,13,달성,6,3.95,13,152,#a8d0f0,,N
