날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-22,조선일보,주요뉴스,긍정,1,최고,10,27.03,4,37,#0d2b5c,#0d2b5c,Y
2026-09-22,조선일보,주요뉴스,긍정,2,지원,9,24.32,4,37,#41628d,#41628d,Y
2026-09-22,조선일보,주요뉴스,긍정,3,투자,9,24.32,4,37,#7499bf,#7499bf,Y
2026-09-22,조선일보,주요뉴스,긍정,4,공연,9,24.32,4,37,#a8d0f0,#a8d0f0,Y
2026-09-22,조선일보,주요뉴스,부정,1,의혹,26,23.64,8,110,#7a0a12,#7a0a12,Y
2026-09-22,조선일보,주요뉴스,부정,2,폭발,17,15.45,8,110,#8b2027,#8b2027,Y
2026-09-22,조선일보,주요뉴스,부정,3,사퇴,16,14.55,8,110,#9c373c,#9c373c,Y
2026-09-22,조선일보,주요뉴스,부정,4,하락,12,10.91,8,110,#ad4d51,#ad4d51,Y
2026-09-22,조선일보,주요뉴스,부정,5,반대,11,10.0,8,110,#bf6367,#bf6367,Y
2026-09-22,조선일보,주요뉴스,부정,6,사고,10,9.09,8,110,#d0797c,#d0797c,Y
2026-09-22,조선일보,주요뉴스,부정,7,성추행,9,8.18,8,110,#e19091,#e19091,Y
2026-09-22,조선일보,주요뉴스,부정,8,논란,9,8.18,8,110,#f2a6a6,#f2a6a6,Y
