날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-23,데일리안,문화,긍정,1,지원,18,14.4,11,125,#0d2b5c,#0d2b5c,Y
2026-09-23,데일리안,문화,긍정,2,확대,16,12.8,11,125,#1c3b6b,#1e3d6c,Y
2026-09-23,데일리안,문화,긍정,3,성장,14,11.2,11,125,#2c4c7a,#2f4f7d,Y
2026-09-23,데일리안,문화,긍정,4,강화,13,10.4,11,125,#3b5c88,#41628d,Y
2026-09-23,데일리안,문화,긍정,5,계약,11,8.8,11,125,#4b6d97,#52749e,Y
2026-09-23,데일리안,문화,긍정,6,최고,10,8.0,11,125,#5b7ea6,#6387ae,Y
2026-09-23,데일리안,문화,긍정,7,공연,10,8.0,11,125,#6a8eb5,#7499bf,Y
2026-09-23,데일리안,문화,긍정,8,확보,9,7.2,11,125,#7a9fc4,#86accf,Y
2026-09-23,데일리안,문화,긍정,9,성과,8,6.4,11,125,#89afd2,#97bee0,Y
2026-09-23,데일리안,문화,긍정,10,기대,8,6.4,11,125,#99c0e1,#a8d0f0,Y
2026-09-23,데일리안,문화,긍정,11,안전,8,6.4,11,125,#a8d0f0,,N
2026-09-23,데일리안,문화,부정,1,우려,10,55.56,2,18,#7a0a12,#7a0a12,Y
2026-09-23,데일리안,문화,부정,2,위험,8,44.44,2,18,#f2a6a6,#f2a6a6,Y
