날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-23,데일리안,사회,긍정,1,강화,12,34.29,4,35,#0d2b5c,#0d2b5c,Y
2026-09-23,데일리안,사회,긍정,2,참여,8,22.86,4,35,#41628d,#41628d,Y
2026-09-23,데일리안,사회,긍정,3,통과,8,22.86,4,35,#7499bf,#7499bf,Y
2026-09-23,데일리안,사회,긍정,4,개최,7,20.0,4,35,#a8d0f0,#a8d0f0,Y
2026-09-23,데일리안,사회,부정,1,학대,20,24.1,7,83,#7a0a12,#7a0a12,Y
2026-09-23,데일리안,사회,부정,2,구속,17,20.48,7,83,#8e242a,#8e242a,Y
2026-09-23,데일리안,사회,부정,3,체포,13,15.66,7,83,#a23e43,#a23e43,Y
2026-09-23,데일리안,사회,부정,4,피의자,11,13.25,7,83,#b6585c,#b6585c,Y
2026-09-23,데일리안,사회,부정,5,재판,9,10.84,7,83,#ca7275,#ca7275,Y
2026-09-23,데일리안,사회,부정,6,위험,7,8.43,7,83,#de8c8e,#de8c8e,Y
2026-09-23,데일리안,사회,부정,7,혐의,6,7.23,7,83,#f2a6a6,#f2a6a6,Y
