날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-23,데일리안,주요뉴스,긍정,1,최고,12,21.43,6,56,#0d2b5c,#0d2b5c,Y
2026-09-23,데일리안,주요뉴스,긍정,2,완화,11,19.64,6,56,#2c4c7a,#2c4c7a,Y
2026-09-23,데일리안,주요뉴스,긍정,3,확대,9,16.07,6,56,#4b6d97,#4b6d97,Y
2026-09-23,데일리안,주요뉴스,긍정,4,투자,9,16.07,6,56,#6a8eb5,#6a8eb5,Y
2026-09-23,데일리안,주요뉴스,긍정,5,확보,8,14.29,6,56,#89afd2,#89afd2,Y
2026-09-23,데일리안,주요뉴스,긍정,6,상승,7,12.5,6,56,#a8d0f0,#a8d0f0,Y
2026-09-23,데일리안,주요뉴스,부정,1,사고,33,31.13,7,106,#7a0a12,#7a0a12,Y
2026-09-23,데일리안,주요뉴스,부정,2,폭발,30,28.3,7,106,#8e242a,#8e242a,Y
2026-09-23,데일리안,주요뉴스,부정,3,하락,11,10.38,7,106,#a23e43,#a23e43,Y
2026-09-23,데일리안,주요뉴스,부정,4,규제,10,9.43,7,106,#b6585c,#b6585c,Y
2026-09-23,데일리안,주요뉴스,부정,5,유출,8,7.55,7,106,#ca7275,#ca7275,Y
2026-09-23,데일리안,주요뉴스,부정,6,비판,7,6.6,7,106,#de8c8e,#de8c8e,Y
2026-09-23,데일리안,주요뉴스,부정,7,부담,7,6.6,7,106,#f2a6a6,#f2a6a6,Y
