날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-23,매일신문,이슈,긍정,1,평화,18,41.86,4,43,#0d2b5c,#0d2b5c,Y
2026-09-23,매일신문,이슈,긍정,2,협력,10,23.26,4,43,#41628d,#41628d,Y
2026-09-23,매일신문,이슈,긍정,3,인정,8,18.6,4,43,#7499bf,#7499bf,Y
2026-09-23,매일신문,이슈,긍정,4,축제,7,16.28,4,43,#a8d0f0,#a8d0f0,Y
2026-09-23,매일신문,이슈,부정,1,소송,20,27.4,7,73,#7a0a12,#7a0a12,Y
2026-09-23,매일신문,이슈,부정,2,의혹,11,15.07,7,73,#8e242a,#8e242a,Y
2026-09-23,매일신문,이슈,부정,3,충돌,11,15.07,7,73,#a23e43,#a23e43,Y
2026-09-23,매일신문,이슈,부정,4,혐의,10,13.7,7,73,#b6585c,#b6585c,Y
2026-09-23,매일신문,이슈,부정,5,위반,8,10.96,7,73,#ca7275,#ca7275,Y
2026-09-23,매일신문,이슈,부정,6,사퇴,7,9.59,7,73,#de8c8e,#de8c8e,Y
2026-09-23,매일신문,이슈,부정,7,비판,6,8.22,7,73,#f2a6a6,#f2a6a6,Y
