날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-23,문화일보,주요뉴스,1,대통령,40,중립
2026-09-23,문화일보,주요뉴스,2,긍정,29,중립
2026-09-23,문화일보,주요뉴스,3,제청,29,중립
2026-09-23,문화일보,주요뉴스,4,부정,29,중립
2026-09-23,문화일보,주요뉴스,5,의원,27,중립
2026-09-23,문화일보,주요뉴스,6,일본,26,중립
2026-09-23,문화일보,주요뉴스,7,대법원장,23,중립
2026-09-23,문화일보,주요뉴스,8,이다현,22,중립
2026-09-23,문화일보,주요뉴스,9,청와대,18,중립
2026-09-23,문화일보,주요뉴스,10,법관,16,중립
2026-09-23,문화일보,주요뉴스,11,지뢰,15,중립
2026-09-23,문화일보,주요뉴스,12,한국,15,중립
2026-09-23,문화일보,주요뉴스,13,평화,14,긍정
2026-09-23,문화일보,주요뉴스,14,총회장,13,중립
2026-09-23,문화일보,주요뉴스,15,평가,13,중립
2026-09-23,문화일보,주요뉴스,16,구속,13,부정
2026-09-23,문화일보,주요뉴스,17,폭발,12,부정
2026-09-23,문화일보,주요뉴스,18,한동훈,12,중립
2026-09-23,문화일보,주요뉴스,19,국민,12,중립
2026-09-23,문화일보,주요뉴스,20,북한,12,중립
2026-09-23,문화일보,주요뉴스,21,이재명,12,중립
2026-09-23,문화일보,주요뉴스,22,조사,12,중립
2026-09-23,문화일보,주요뉴스,23,경기,12,중립
2026-09-23,문화일보,주요뉴스,24,임명,12,중립
2026-09-23,문화일보,주요뉴스,25,혐의,12,부정
2026-09-23,문화일보,주요뉴스,26,협력,12,긍정
2026-09-23,문화일보,주요뉴스,27,대표,11,중립
2026-09-23,문화일보,주요뉴스,28,발견,10,중립
2026-09-23,문화일보,주요뉴스,29,거부,10,부정
2026-09-23,문화일보,주요뉴스,30,신지은,10,중립
2026-09-23,문화일보,주요뉴스,31,살해,10,부정
2026-09-23,문화일보,주요뉴스,32,소속,10,중립
2026-09-23,문화일보,주요뉴스,33,한반도,10,중립
2026-09-23,문화일보,주요뉴스,34,대회,9,중립
2026-09-23,문화일보,주요뉴스,35,누나,8,중립
2026-09-23,문화일보,주요뉴스,36,추정,8,중립
2026-09-23,문화일보,주요뉴스,37,대한민국,8,중립
2026-09-23,문화일보,주요뉴스,38,페이스북,8,중립
2026-09-23,문화일보,주요뉴스,39,후보자,8,중립
2026-09-23,문화일보,주요뉴스,40,헌법,8,중립
2026-09-23,문화일보,주요뉴스,41,현지,8,중립
2026-09-23,문화일보,주요뉴스,42,사고,7,부정
2026-09-23,문화일보,주요뉴스,43,가능,7,중립
2026-09-23,문화일보,주요뉴스,44,대화,7,중립
2026-09-23,문화일보,주요뉴스,45,배구,7,중립
2026-09-23,문화일보,주요뉴스,46,반발,7,부정
2026-09-23,문화일보,주요뉴스,47,관심,7,중립
2026-09-23,문화일보,주요뉴스,48,선수,7,중립
2026-09-23,문화일보,주요뉴스,49,기소,7,부정
2026-09-23,문화일보,주요뉴스,50,집행,7,중립
2026-09-23,문화일보,주요뉴스,51,부장,7,중립
2026-09-23,문화일보,주요뉴스,52,판사,7,중립
2026-09-23,문화일보,주요뉴스,53,공존,7,중립
2026-09-23,문화일보,주요뉴스,54,요구,7,중립
2026-09-23,문화일보,주요뉴스,55,매체,7,중립
2026-09-23,문화일보,주요뉴스,56,사단,6,중립
2026-09-23,문화일보,주요뉴스,57,민주당,6,중립
2026-09-23,문화일보,주요뉴스,58,법원,6,중립
2026-09-23,문화일보,주요뉴스,59,징역,6,부정
2026-09-23,문화일보,주요뉴스,60,태풍,6,중립
2026-09-23,문화일보,주요뉴스,61,지지,6,중립
2026-09-23,문화일보,주요뉴스,62,아파트,6,중립
2026-09-23,문화일보,주요뉴스,63,정당,6,중립
2026-09-23,문화일보,주요뉴스,64,정부,6,중립
2026-09-23,문화일보,주요뉴스,65,국회,6,중립
2026-09-23,문화일보,주요뉴스,66,비치,6,중립
2026-09-23,문화일보,주요뉴스,67,태국,6,중립
2026-09-23,문화일보,주요뉴스,68,정지,6,중립
2026-09-23,문화일보,주요뉴스,69,유엔,6,중립
2026-09-23,문화일보,주요뉴스,70,범행,6,중립
2026-09-23,문화일보,주요뉴스,71,조희대,5,중립
2026-09-23,문화일보,주요뉴스,72,청구,5,중립
2026-09-23,문화일보,주요뉴스,73,똥별,5,중립
2026-09-23,문화일보,주요뉴스,74,김병주,5,중립
2026-09-23,문화일보,주요뉴스,75,김정아,5,중립
2026-09-23,문화일보,주요뉴스,76,아시안,5,중립
2026-09-23,문화일보,주요뉴스,77,게임,5,중립
2026-09-23,문화일보,주요뉴스,78,계엄,5,중립
2026-09-23,문화일보,주요뉴스,79,홍역,5,중립
2026-09-23,문화일보,주요뉴스,80,기록,5,중립
2026-09-23,문화일보,주요뉴스,81,성장,5,긍정
2026-09-23,문화일보,주요뉴스,82,지역,5,중립
2026-09-23,문화일보,주요뉴스,83,여론,5,중립
2026-09-23,문화일보,주요뉴스,84,지대,5,중립
2026-09-23,문화일보,주요뉴스,85,작전,5,중립
2026-09-23,문화일보,주요뉴스,86,대북,5,중립
2026-09-23,문화일보,주요뉴스,87,손봉기,5,중립
2026-09-23,문화일보,주요뉴스,88,입장,5,중립
2026-09-23,문화일보,주요뉴스,89,발리볼,5,중립
2026-09-23,문화일보,주요뉴스,90,리그,5,중립
2026-09-23,문화일보,주요뉴스,91,여자,5,중립
2026-09-23,문화일보,주요뉴스,92,가입,5,중립
2026-09-23,문화일보,주요뉴스,93,결정,5,중립
2026-09-23,문화일보,주요뉴스,94,재판,5,부정
2026-09-23,문화일보,주요뉴스,95,지난달,5,중립
2026-09-23,문화일보,주요뉴스,96,미국,5,중립
2026-09-23,문화일보,주요뉴스,97,시간,5,중립
2026-09-23,문화일보,주요뉴스,98,안정,5,긍정
2026-09-23,문화일보,주요뉴스,99,위기,5,부정
2026-09-23,문화일보,주요뉴스,100,여행객,5,중립
