날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-23,아시아경제,이슈,1,일본,49,중립
2026-09-23,아시아경제,이슈,2,한국,34,중립
2026-09-23,아시아경제,이슈,3,미국,31,중립
2026-09-23,아시아경제,이슈,4,이란,29,중립
2026-09-23,아시아경제,이슈,5,호텔,28,중립
2026-09-23,아시아경제,이슈,6,상어,25,중립
2026-09-23,아시아경제,이슈,7,사업,23,중립
2026-09-23,아시아경제,이슈,8,여행,22,중립
2026-09-23,아시아경제,이슈,9,국내,20,중립
2026-09-23,아시아경제,이슈,10,와규,19,중립
2026-09-23,아시아경제,이슈,11,작품,19,중립
2026-09-23,아시아경제,이슈,12,대통령,17,중립
2026-09-23,아시아경제,이슈,13,개발,17,중립
2026-09-23,아시아경제,이슈,14,현지,17,중립
2026-09-23,아시아경제,이슈,15,캐나다,16,중립
2026-09-23,아시아경제,이슈,16,교육,16,중립
2026-09-23,아시아경제,이슈,17,학생,16,중립
2026-09-23,아시아경제,이슈,18,어학원,15,중립
2026-09-23,아시아경제,이슈,19,시장,15,중립
2026-09-23,아시아경제,이슈,20,트럼프,14,중립
2026-09-23,아시아경제,이슈,21,대표,14,중립
2026-09-23,아시아경제,이슈,22,판매,14,중립
2026-09-23,아시아경제,이슈,23,수요,14,중립
2026-09-23,아시아경제,이슈,24,확대,14,긍정
2026-09-23,아시아경제,이슈,25,기술,14,중립
2026-09-23,아시아경제,이슈,26,바운드,14,중립
2026-09-23,아시아경제,이슈,27,가능,13,중립
2026-09-23,아시아경제,이슈,28,태국,13,중립
2026-09-23,아시아경제,이슈,29,미사일,13,중립
2026-09-23,아시아경제,이슈,30,폐업,12,중립
2026-09-23,아시아경제,이슈,31,로봇,12,중립
2026-09-23,아시아경제,이슈,32,과정,12,중립
2026-09-23,아시아경제,이슈,33,상품,12,중립
2026-09-23,아시아경제,이슈,34,연휴,12,중립
2026-09-23,아시아경제,이슈,35,이다현,12,중립
2026-09-23,아시아경제,이슈,36,가격,11,중립
2026-09-23,아시아경제,이슈,37,청년,11,중립
2026-09-23,아시아경제,이슈,38,아기,11,중립
2026-09-23,아시아경제,이슈,39,주요,11,중립
2026-09-23,아시아경제,이슈,40,공격,11,중립
2026-09-23,아시아경제,이슈,41,국가,11,중립
2026-09-23,아시아경제,이슈,42,증가,11,긍정
2026-09-23,아시아경제,이슈,43,스리랑카,10,중립
2026-09-23,아시아경제,이슈,44,배구,10,중립
2026-09-23,아시아경제,이슈,45,그림,10,중립
2026-09-23,아시아경제,이슈,46,운영,10,중립
2026-09-23,아시아경제,이슈,47,고급,10,중립
2026-09-23,아시아경제,이슈,48,수준,10,중립
2026-09-23,아시아경제,이슈,49,예약,9,중립
2026-09-23,아시아경제,이슈,50,실업,9,부정
2026-09-23,아시아경제,이슈,51,티로보틱스,9,중립
2026-09-23,아시아경제,이슈,52,협상,9,중립
2026-09-23,아시아경제,이슈,53,추석,9,중립
2026-09-23,아시아경제,이슈,54,해외,9,중립
2026-09-23,아시아경제,이슈,55,기관,9,중립
2026-09-23,아시아경제,이슈,56,해당,9,중립
2026-09-23,아시아경제,이슈,57,서비스,9,중립
2026-09-23,아시아경제,이슈,58,매출,9,중립
2026-09-23,아시아경제,이슈,59,대비,9,중립
2026-09-23,아시아경제,이슈,60,친수,9,중립
2026-09-23,아시아경제,이슈,61,공원,9,중립
2026-09-23,아시아경제,이슈,62,주민,9,중립
2026-09-23,아시아경제,이슈,63,공급,9,중립
2026-09-23,아시아경제,이슈,64,회담,9,중립
2026-09-23,아시아경제,이슈,65,여행사,8,중립
2026-09-23,아시아경제,이슈,66,라운드,8,중립
2026-09-23,아시아경제,이슈,67,비행,8,중립
2026-09-23,아시아경제,이슈,68,진공,8,중립
2026-09-23,아시아경제,이슈,69,휴머노이드,8,중립
2026-09-23,아시아경제,이슈,70,성장,8,긍정
2026-09-23,아시아경제,이슈,71,최대,8,긍정
2026-09-23,아시아경제,이슈,72,대형,8,중립
2026-09-23,아시아경제,이슈,73,변화,8,중립
2026-09-23,아시아경제,이슈,74,확인,8,중립
2026-09-23,아시아경제,이슈,75,전년,8,중립
2026-09-23,아시아경제,이슈,76,사이,8,중립
2026-09-23,아시아경제,이슈,77,장거리,8,중립
2026-09-23,아시아경제,이슈,78,기록,8,중립
2026-09-23,아시아경제,이슈,79,게임,8,중립
2026-09-23,아시아경제,이슈,80,먹이,8,중립
2026-09-23,아시아경제,이슈,81,대회,8,중립
2026-09-23,아시아경제,이슈,82,패키지,8,중립
2026-09-23,아시아경제,이슈,83,분기,8,중립
2026-09-23,아시아경제,이슈,84,취소,7,부정
2026-09-23,아시아경제,이슈,85,슈퍼,7,중립
2026-09-23,아시아경제,이슈,86,시험,7,중립
2026-09-23,아시아경제,이슈,87,밴쿠버,7,중립
2026-09-23,아시아경제,이슈,88,프로그램,7,중립
2026-09-23,아시아경제,이슈,89,영향,7,중립
2026-09-23,아시아경제,이슈,90,기존,7,중립
2026-09-23,아시아경제,이슈,91,포함,7,중립
2026-09-23,아시아경제,이슈,92,내용,7,중립
2026-09-23,아시아경제,이슈,93,영업,7,중립
2026-09-23,아시아경제,이슈,94,덮밥,7,중립
2026-09-23,아시아경제,이슈,95,감소,7,부정
2026-09-23,아시아경제,이슈,96,홍역,7,중립
2026-09-23,아시아경제,이슈,97,여행객,7,중립
2026-09-23,아시아경제,이슈,98,일정,7,중립
2026-09-23,아시아경제,이슈,99,아시아,7,중립
2026-09-23,아시아경제,이슈,100,지역,7,중립
