날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-23,조선일보,사회,1,대통령,51,중립
2026-09-23,조선일보,사회,2,제청,43,중립
2026-09-23,조선일보,사회,3,대법원장,34,중립
2026-09-23,조선일보,사회,4,검찰,31,중립
2026-09-23,조선일보,사회,5,상어,29,중립
2026-09-23,조선일보,사회,6,검사,26,중립
2026-09-23,조선일보,사회,7,주민,26,중립
2026-09-23,조선일보,사회,8,수사,25,부정
2026-09-23,조선일보,사회,9,임명,25,중립
2026-09-23,조선일보,사회,10,학교,24,중립
2026-09-23,조선일보,사회,11,차장,22,중립
2026-09-23,조선일보,사회,12,법관,20,중립
2026-09-23,조선일보,사회,13,공소,19,중립
2026-09-23,조선일보,사회,14,헌법,18,중립
2026-09-23,조선일보,사회,15,후보자,18,중립
2026-09-23,조선일보,사회,16,청와대,18,중립
2026-09-23,조선일보,사회,17,대검,17,중립
2026-09-23,조선일보,사회,18,혐의,17,부정
2026-09-23,조선일보,사회,19,요청,17,중립
2026-09-23,조선일보,사회,20,센터,16,중립
2026-09-23,조선일보,사회,21,총장,16,중립
2026-09-23,조선일보,사회,22,서울,16,중립
2026-09-23,조선일보,사회,23,국회,15,중립
2026-09-23,조선일보,사회,24,정원,15,중립
2026-09-23,조선일보,사회,25,사건,14,중립
2026-09-23,조선일보,사회,26,공문,14,중립
2026-09-23,조선일보,사회,27,기소,13,부정
2026-09-23,조선일보,사회,28,정부,13,중립
2026-09-23,조선일보,사회,29,직원,12,중립
2026-09-23,조선일보,사회,30,여명학교,12,중립
2026-09-23,조선일보,사회,31,대행,12,중립
2026-09-23,조선일보,사회,32,채용,12,긍정
2026-09-23,조선일보,사회,33,의원,12,중립
2026-09-23,조선일보,사회,34,전쟁,12,부정
2026-09-23,조선일보,사회,35,동포,11,중립
2026-09-23,조선일보,사회,36,요구,11,중립
2026-09-23,조선일보,사회,37,택시,11,중립
2026-09-23,조선일보,사회,38,이재명,11,중립
2026-09-23,조선일보,사회,39,행사,11,중립
2026-09-23,조선일보,사회,40,여수시,11,중립
2026-09-23,조선일보,사회,41,재판,10,부정
2026-09-23,조선일보,사회,42,직무,10,중립
2026-09-23,조선일보,사회,43,사유,10,중립
2026-09-23,조선일보,사회,44,법원,10,중립
2026-09-23,조선일보,사회,45,법무부,10,중립
2026-09-23,조선일보,사회,46,재판부,10,중립
2026-09-23,조선일보,사회,47,수로,10,중립
2026-09-23,조선일보,사회,48,이정현,9,중립
2026-09-23,조선일보,사회,49,입장,9,중립
2026-09-23,조선일보,사회,50,절차,9,중립
2026-09-23,조선일보,사회,51,포로,9,중립
2026-09-23,조선일보,사회,52,미군,9,중립
2026-09-23,조선일보,사회,53,한국,9,중립
2026-09-23,조선일보,사회,54,판사,9,중립
2026-09-23,조선일보,사회,55,여사,9,중립
2026-09-23,조선일보,사회,56,부산,9,중립
2026-09-23,조선일보,사회,57,서진학교,9,중립
2026-09-23,조선일보,사회,58,재외,8,중립
2026-09-23,조선일보,사회,59,협력,8,긍정
2026-09-23,조선일보,사회,60,기관,8,중립
2026-09-23,조선일보,사회,61,실종자,8,중립
2026-09-23,조선일보,사회,62,구체,8,중립
2026-09-23,조선일보,사회,63,선고,8,중립
2026-09-23,조선일보,사회,64,증인,8,중립
2026-09-23,조선일보,사회,65,일부,8,중립
2026-09-23,조선일보,사회,66,사위,8,중립
2026-09-23,조선일보,사회,67,시설,8,중립
2026-09-23,조선일보,사회,68,신임,7,중립
2026-09-23,조선일보,사회,69,취소,7,부정
2026-09-23,조선일보,사회,70,국민,7,중립
2026-09-23,조선일보,사회,71,문재인,7,중립
2026-09-23,조선일보,사회,72,참여,7,긍정
2026-09-23,조선일보,사회,73,반발,7,부정
2026-09-23,조선일보,사회,74,별세,7,중립
2026-09-23,조선일보,사회,75,검찰청,7,중립
2026-09-23,조선일보,사회,76,가능,7,중립
2026-09-23,조선일보,사회,77,추진,7,중립
2026-09-23,조선일보,사회,78,동포청,7,중립
2026-09-23,조선일보,사회,79,반대,7,부정
2026-09-23,조선일보,사회,80,근거,7,중립
2026-09-23,조선일보,사회,81,부장,7,중립
2026-09-23,조선일보,사회,82,출석,7,중립
2026-09-23,조선일보,사회,83,형사,7,중립
2026-09-23,조선일보,사회,84,공원,7,중립
2026-09-23,조선일보,사회,85,유언비어,7,중립
2026-09-23,조선일보,사회,86,학생,7,중립
2026-09-23,조선일보,사회,87,의자,6,중립
2026-09-23,조선일보,사회,88,금품,6,중립
2026-09-23,조선일보,사회,89,징역,6,부정
2026-09-23,조선일보,사회,90,부캉이,6,중립
2026-09-23,조선일보,사회,91,박람회,6,중립
2026-09-23,조선일보,사회,92,교수,6,중립
2026-09-23,조선일보,사회,93,청장,6,중립
2026-09-23,조선일보,사회,94,통과,6,긍정
2026-09-23,조선일보,사회,95,퇴임,6,중립
2026-09-23,조선일보,사회,96,공석,6,중립
2026-09-23,조선일보,사회,97,위원회,6,중립
2026-09-23,조선일보,사회,98,확보,6,긍정
2026-09-23,조선일보,사회,99,공공,6,중립
2026-09-23,조선일보,사회,100,확인,6,중립
