날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-24,문화일보,문화,1,여행,38,중립
2026-09-24,문화일보,문화,2,지역,37,중립
2026-09-24,문화일보,문화,3,배터리,30,중립
2026-09-24,문화일보,문화,4,할인,29,중립
2026-09-24,문화일보,문화,5,추석,25,중립
2026-09-24,문화일보,문화,6,연휴,21,중립
2026-09-24,문화일보,문화,7,포인트,20,중립
2026-09-24,문화일보,문화,8,건축,19,중립
2026-09-24,문화일보,문화,9,운영,19,중립
2026-09-24,문화일보,문화,10,기간,18,중립
2026-09-24,문화일보,문화,11,문화,17,중립
2026-09-24,문화일보,문화,12,인사동,16,중립
2026-09-24,문화일보,문화,13,혜택,16,긍정
2026-09-24,문화일보,문화,14,대표,15,중립
2026-09-24,문화일보,문화,15,서울,15,중립
2026-09-24,문화일보,문화,16,참여,14,긍정
2026-09-24,문화일보,문화,17,박진영,14,중립
2026-09-24,문화일보,문화,18,마음,14,중립
2026-09-24,문화일보,문화,19,상품,14,중립
2026-09-24,문화일보,문화,20,숙박,14,중립
2026-09-24,문화일보,문화,21,월병,14,중립
2026-09-24,문화일보,문화,22,공연,13,긍정
2026-09-24,문화일보,문화,23,프로그램,13,중립
2026-09-24,문화일보,문화,24,전시,13,긍정
2026-09-24,문화일보,문화,25,한국,12,중립
2026-09-24,문화일보,문화,26,극장,12,중립
2026-09-24,문화일보,문화,27,대상,12,중립
2026-09-24,문화일보,문화,28,인구,12,중립
2026-09-24,문화일보,문화,29,감소,12,부정
2026-09-24,문화일보,문화,30,구매,12,중립
2026-09-24,문화일보,문화,31,최대,11,긍정
2026-09-24,문화일보,문화,32,프랑스,11,중립
2026-09-24,문화일보,문화,33,철도,11,중립
2026-09-24,문화일보,문화,34,개발,10,중립
2026-09-24,문화일보,문화,35,전기,10,중립
2026-09-24,문화일보,문화,36,반값,10,중립
2026-09-24,문화일보,문화,37,무대,10,중립
2026-09-24,문화일보,문화,38,가능,10,중립
2026-09-24,문화일보,문화,39,방문,10,중립
2026-09-24,문화일보,문화,40,가치,10,중립
2026-09-24,문화일보,문화,41,캠페인,10,중립
2026-09-24,문화일보,문화,42,이용,10,중립
2026-09-24,문화일보,문화,43,행사,9,중립
2026-09-24,문화일보,문화,44,정동극장,9,중립
2026-09-24,문화일보,문화,45,소유,9,중립
2026-09-24,문화일보,문화,46,초승달,9,중립
2026-09-24,문화일보,문화,47,열매,9,중립
2026-09-24,문화일보,문화,48,교수,9,중립
2026-09-24,문화일보,문화,49,가을,9,중립
2026-09-24,문화일보,문화,50,티맵,9,중립
2026-09-24,문화일보,문화,51,환급,9,중립
2026-09-24,문화일보,문화,52,현대,8,중립
2026-09-24,문화일보,문화,53,청년,8,중립
2026-09-24,문화일보,문화,54,포스코,8,중립
2026-09-24,문화일보,문화,55,분리,8,중립
2026-09-24,문화일보,문화,56,가족,8,중립
2026-09-24,문화일보,문화,57,조직위,8,중립
2026-09-24,문화일보,문화,58,여수,8,중립
2026-09-24,문화일보,문화,59,작품,8,중립
2026-09-24,문화일보,문화,60,작가,8,중립
2026-09-24,문화일보,문화,61,건축가,8,중립
2026-09-24,문화일보,문화,62,활용,8,중립
2026-09-24,문화일보,문화,63,사랑,8,중립
2026-09-24,문화일보,문화,64,지원,8,긍정
2026-09-24,문화일보,문화,65,외국인,8,중립
2026-09-24,문화일보,문화,66,명절,7,중립
2026-09-24,문화일보,문화,67,그림,7,중립
2026-09-24,문화일보,문화,68,반달,7,중립
2026-09-24,문화일보,문화,69,박람회,7,중립
2026-09-24,문화일보,문화,70,관람객,7,중립
2026-09-24,문화일보,문화,71,체험,7,중립
2026-09-24,문화일보,문화,72,인증,7,중립
2026-09-24,문화일보,문화,73,추진,7,중립
2026-09-24,문화일보,문화,74,중심,7,중립
2026-09-24,문화일보,문화,75,시기,7,중립
2026-09-24,문화일보,문화,76,국립,7,중립
2026-09-24,문화일보,문화,77,지급,7,중립
2026-09-24,문화일보,문화,78,추가,7,중립
2026-09-24,문화일보,문화,79,서비스,7,중립
2026-09-24,문화일보,문화,80,중국,7,중립
2026-09-24,문화일보,문화,81,모양,7,중립
2026-09-24,문화일보,문화,82,축제,6,긍정
2026-09-24,문화일보,문화,83,파리,6,중립
2026-09-24,문화일보,문화,84,안동,6,중립
2026-09-24,문화일보,문화,85,남원,6,중립
2026-09-24,문화일보,문화,86,에이전티,6,중립
2026-09-24,문화일보,문화,87,송편,6,중립
2026-09-24,문화일보,문화,88,특집,6,중립
2026-09-24,문화일보,문화,89,승리,6,긍정
2026-09-24,문화일보,문화,90,보름달,6,중립
2026-09-24,문화일보,문화,91,전통,6,중립
2026-09-24,문화일보,문화,92,적용,6,중립
2026-09-24,문화일보,문화,93,방식,6,중립
2026-09-24,문화일보,문화,94,연구,6,중립
2026-09-24,문화일보,문화,95,인사,6,중립
2026-09-24,문화일보,문화,96,전통문화,6,중립
2026-09-24,문화일보,문화,97,회장,6,중립
2026-09-24,문화일보,문화,98,다양,6,중립
2026-09-24,문화일보,문화,99,한국건축가협회,6,중립
2026-09-24,문화일보,문화,100,설계,6,중립
