날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-24,조선일보,이슈,1,대통령,66,중립
2026-09-24,조선일보,이슈,2,미국,40,중립
2026-09-24,조선일보,이슈,3,수사,33,부정
2026-09-24,조선일보,이슈,4,사건,31,중립
2026-09-24,조선일보,이슈,5,중국,30,중립
2026-09-24,조선일보,이슈,6,이란,29,중립
2026-09-24,조선일보,이슈,7,내란,28,중립
2026-09-24,조선일보,이슈,8,검찰,28,중립
2026-09-24,조선일보,이슈,9,공소,26,중립
2026-09-24,조선일보,이슈,10,한국,24,중립
2026-09-24,조선일보,이슈,11,취소,23,부정
2026-09-24,조선일보,이슈,12,트럼프,22,중립
2026-09-24,조선일보,이슈,13,대행,22,중립
2026-09-24,조선일보,이슈,14,정부,21,중립
2026-09-24,조선일보,이슈,15,조사,21,중립
2026-09-24,조선일보,이슈,16,농지,20,중립
2026-09-24,조선일보,이슈,17,일본,20,중립
2026-09-24,조선일보,이슈,18,카드,18,중립
2026-09-24,조선일보,이슈,19,서울아산병원,17,중립
2026-09-24,조선일보,이슈,20,장애인,17,중립
2026-09-24,조선일보,이슈,21,포로,16,중립
2026-09-24,조선일보,이슈,22,젤렌스키,16,중립
2026-09-24,조선일보,이슈,23,서울시,16,중립
2026-09-24,조선일보,이슈,24,특검,16,중립
2026-09-24,조선일보,이슈,25,게임,15,중립
2026-09-24,조선일보,이슈,26,북한군,14,중립
2026-09-24,조선일보,이슈,27,박지희,14,중립
2026-09-24,조선일보,이슈,28,특수본,14,중립
2026-09-24,조선일보,이슈,29,오상욱,14,중립
2026-09-24,조선일보,이슈,30,아시안,14,중립
2026-09-24,조선일보,이슈,31,국민,14,중립
2026-09-24,조선일보,이슈,32,교수,14,중립
2026-09-24,조선일보,이슈,33,개인전,14,중립
2026-09-24,조선일보,이슈,34,생가,13,중립
2026-09-24,조선일보,이슈,35,고추,13,중립
2026-09-24,조선일보,이슈,36,유엔,13,중립
2026-09-24,조선일보,이슈,37,전쟁,13,부정
2026-09-24,조선일보,이슈,38,이재명,13,중립
2026-09-24,조선일보,이슈,39,복원,12,중립
2026-09-24,조선일보,이슈,40,우창윤,12,중립
2026-09-24,조선일보,이슈,41,국토부,12,중립
2026-09-24,조선일보,이슈,42,아이치,12,중립
2026-09-24,조선일보,이슈,43,세계,12,중립
2026-09-24,조선일보,이슈,44,대법원장,12,중립
2026-09-24,조선일보,이슈,45,회담,12,중립
2026-09-24,조선일보,이슈,46,계엄,12,중립
2026-09-24,조선일보,이슈,47,기소,12,부정
2026-09-24,조선일보,이슈,48,공사,12,중립
2026-09-24,조선일보,이슈,49,애니메이션,12,중립
2026-09-24,조선일보,이슈,50,삼성역,11,중립
2026-09-24,조선일보,이슈,51,경매,11,중립
2026-09-24,조선일보,이슈,52,시진핑,11,중립
2026-09-24,조선일보,이슈,53,총회,11,중립
2026-09-24,조선일보,이슈,54,중단,11,부정
2026-09-24,조선일보,이슈,55,서울,11,중립
2026-09-24,조선일보,이슈,56,장관,11,중립
2026-09-24,조선일보,이슈,57,안전,11,긍정
2026-09-24,조선일보,이슈,58,뉴욕,10,중립
2026-09-24,조선일보,이슈,59,정상,10,중립
2026-09-24,조선일보,이슈,60,스레드,10,중립
2026-09-24,조선일보,이슈,61,여권,10,중립
2026-09-24,조선일보,이슈,62,자산,10,중립
2026-09-24,조선일보,이슈,63,철근,9,중립
2026-09-24,조선일보,이슈,64,투기,9,중립
2026-09-24,조선일보,이슈,65,발언,9,중립
2026-09-24,조선일보,이슈,66,우크라이나,9,중립
2026-09-24,조선일보,이슈,67,북한,9,중립
2026-09-24,조선일보,이슈,68,연설,9,중립
2026-09-24,조선일보,이슈,69,자신,9,중립
2026-09-24,조선일보,이슈,70,러시아,9,중립
2026-09-24,조선일보,이슈,71,구성,9,중립
2026-09-24,조선일보,이슈,72,연합뉴스,9,중립
2026-09-24,조선일보,이슈,73,결승,9,중립
2026-09-24,조선일보,이슈,74,펜싱,9,중립
2026-09-24,조선일보,이슈,75,대표,9,중립
2026-09-24,조선일보,이슈,76,출범,9,중립
2026-09-24,조선일보,이슈,77,검사,9,중립
2026-09-24,조선일보,이슈,78,투자,9,긍정
2026-09-24,조선일보,이슈,79,총장,9,중립
2026-09-24,조선일보,이슈,80,여사,8,중립
2026-09-24,조선일보,이슈,81,의사,8,중립
2026-09-24,조선일보,이슈,82,시장,8,중립
2026-09-24,조선일보,이슈,83,논란,8,부정
2026-09-24,조선일보,이슈,84,대표단,8,중립
2026-09-24,조선일보,이슈,85,주식,8,중립
2026-09-24,조선일보,이슈,86,조선일보,8,중립
2026-09-24,조선일보,이슈,87,공개,8,중립
2026-09-24,조선일보,이슈,88,국가,8,중립
2026-09-24,조선일보,이슈,89,방식,8,중립
2026-09-24,조선일보,이슈,90,비판,8,부정
2026-09-24,조선일보,이슈,91,제재,8,부정
2026-09-24,조선일보,이슈,92,협상,8,중립
2026-09-24,조선일보,이슈,93,해석,8,중립
2026-09-24,조선일보,이슈,94,플뢰레,8,중립
2026-09-24,조선일보,이슈,95,대회,8,중립
2026-09-24,조선일보,이슈,96,가능,8,중립
2026-09-24,조선일보,이슈,97,특별,8,중립
2026-09-24,조선일보,이슈,98,직후,8,중립
2026-09-24,조선일보,이슈,99,보강,8,중립
2026-09-24,조선일보,이슈,100,진상,8,중립
