날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-24,조선일보,주요뉴스,1,대통령,69,중립
2026-09-24,조선일보,주요뉴스,2,중국,67,중립
2026-09-24,조선일보,주요뉴스,3,미국,56,중립
2026-09-24,조선일보,주요뉴스,4,트럼프,39,중립
2026-09-24,조선일보,주요뉴스,5,지뢰,32,중립
2026-09-24,조선일보,주요뉴스,6,이란,31,중립
2026-09-24,조선일보,주요뉴스,7,내란,31,중립
2026-09-24,조선일보,주요뉴스,8,대법원장,29,중립
2026-09-24,조선일보,주요뉴스,9,조사,27,중립
2026-09-24,조선일보,주요뉴스,10,제청,26,중립
2026-09-24,조선일보,주요뉴스,11,정부,24,중립
2026-09-24,조선일보,주요뉴스,12,현장,22,중립
2026-09-24,조선일보,주요뉴스,13,정상,22,중립
2026-09-24,조선일보,주요뉴스,14,보안,22,중립
2026-09-24,조선일보,주요뉴스,15,수사,22,부정
2026-09-24,조선일보,주요뉴스,16,북한,21,중립
2026-09-24,조선일보,주요뉴스,17,농지,20,중립
2026-09-24,조선일보,주요뉴스,18,북한군,19,중립
2026-09-24,조선일보,주요뉴스,19,한국,19,중립
2026-09-24,조선일보,주요뉴스,20,국민,18,중립
2026-09-24,조선일보,주요뉴스,21,회담,18,중립
2026-09-24,조선일보,주요뉴스,22,서울아산병원,17,중립
2026-09-24,조선일보,주요뉴스,23,로봇,17,중립
2026-09-24,조선일보,주요뉴스,24,포로,16,중립
2026-09-24,조선일보,주요뉴스,25,젤렌스키,16,중립
2026-09-24,조선일보,주요뉴스,26,서울시,16,중립
2026-09-24,조선일보,주요뉴스,27,가능,16,중립
2026-09-24,조선일보,주요뉴스,28,제품,16,중립
2026-09-24,조선일보,주요뉴스,29,폭발,16,부정
2026-09-24,조선일보,주요뉴스,30,특검,16,중립
2026-09-24,조선일보,주요뉴스,31,판매,15,중립
2026-09-24,조선일보,주요뉴스,32,특수본,15,중립
2026-09-24,조선일보,주요뉴스,33,유엔,15,중립
2026-09-24,조선일보,주요뉴스,34,청와대,15,중립
2026-09-24,조선일보,주요뉴스,35,사건,15,중립
2026-09-24,조선일보,주요뉴스,36,교수,15,중립
2026-09-24,조선일보,주요뉴스,37,주석,15,중립
2026-09-24,조선일보,주요뉴스,38,이웃,14,중립
2026-09-24,조선일보,주요뉴스,39,시진핑,14,중립
2026-09-24,조선일보,주요뉴스,40,국빈,14,중립
2026-09-24,조선일보,주요뉴스,41,장비,14,중립
2026-09-24,조선일보,주요뉴스,42,방문,14,중립
2026-09-24,조선일보,주요뉴스,43,안전,14,긍정
2026-09-24,조선일보,주요뉴스,44,기업,14,중립
2026-09-24,조선일보,주요뉴스,45,여사,13,중립
2026-09-24,조선일보,주요뉴스,46,생가,13,중립
2026-09-24,조선일보,주요뉴스,47,박지희,13,중립
2026-09-24,조선일보,주요뉴스,48,총회,13,중립
2026-09-24,조선일보,주요뉴스,49,전쟁,13,부정
2026-09-24,조선일보,주요뉴스,50,복원,12,중립
2026-09-24,조선일보,주요뉴스,51,범죄,12,부정
2026-09-24,조선일보,주요뉴스,52,우창윤,12,중립
2026-09-24,조선일보,주요뉴스,53,국토부,12,중립
2026-09-24,조선일보,주요뉴스,54,절차,12,중립
2026-09-24,조선일보,주요뉴스,55,민주당,12,중립
2026-09-24,조선일보,주요뉴스,56,국가,12,중립
2026-09-24,조선일보,주요뉴스,57,국내,12,중립
2026-09-24,조선일보,주요뉴스,58,이재명,12,중립
2026-09-24,조선일보,주요뉴스,59,서울,12,중립
2026-09-24,조선일보,주요뉴스,60,법관,12,중립
2026-09-24,조선일보,주요뉴스,61,장관,12,중립
2026-09-24,조선일보,주요뉴스,62,계엄,12,중립
2026-09-24,조선일보,주요뉴스,63,공사,12,중립
2026-09-24,조선일보,주요뉴스,64,공항,11,중립
2026-09-24,조선일보,주요뉴스,65,조희대,11,중립
2026-09-24,조선일보,주요뉴스,66,삼성역,11,중립
2026-09-24,조선일보,주요뉴스,67,거부,11,부정
2026-09-24,조선일보,주요뉴스,68,연합뉴스,11,중립
2026-09-24,조선일보,주요뉴스,69,업체,11,중립
2026-09-24,조선일보,주요뉴스,70,규제,10,부정
2026-09-24,조선일보,주요뉴스,71,시각,10,중립
2026-09-24,조선일보,주요뉴스,72,러시아,10,중립
2026-09-24,조선일보,주요뉴스,73,스레드,10,중립
2026-09-24,조선일보,주요뉴스,74,의원,10,중립
2026-09-24,조선일보,주요뉴스,75,합동,10,중립
2026-09-24,조선일보,주요뉴스,76,후보자,10,중립
2026-09-24,조선일보,주요뉴스,77,사고,10,부정
2026-09-24,조선일보,주요뉴스,78,여권,10,중립
2026-09-24,조선일보,주요뉴스,79,투기,9,중립
2026-09-24,조선일보,주요뉴스,80,입장,9,중립
2026-09-24,조선일보,주요뉴스,81,반박,9,중립
2026-09-24,조선일보,주요뉴스,82,경찰,9,중립
2026-09-24,조선일보,주요뉴스,83,철근,9,중립
2026-09-24,조선일보,주요뉴스,84,개혁,9,중립
2026-09-24,조선일보,주요뉴스,85,우크라이나,9,중립
2026-09-24,조선일보,주요뉴스,86,요청,9,중립
2026-09-24,조선일보,주요뉴스,87,뉴욕,9,중립
2026-09-24,조선일보,주요뉴스,88,연설,9,중립
2026-09-24,조선일보,주요뉴스,89,공개,9,중립
2026-09-24,조선일보,주요뉴스,90,양국,9,중립
2026-09-24,조선일보,주요뉴스,91,참석,9,중립
2026-09-24,조선일보,주요뉴스,92,백악관,9,중립
2026-09-24,조선일보,주요뉴스,93,일본,9,중립
2026-09-24,조선일보,주요뉴스,94,아이치,9,중립
2026-09-24,조선일보,주요뉴스,95,에너지,9,중립
2026-09-24,조선일보,주요뉴스,96,대표,9,중립
2026-09-24,조선일보,주요뉴스,97,분석,9,중립
2026-09-24,조선일보,주요뉴스,98,안보,9,중립
2026-09-24,조선일보,주요뉴스,99,배터리,9,중립
2026-09-24,조선일보,주요뉴스,100,주장,8,중립
