날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-25,아시아경제,정치,긍정,1,협력,84,38.53,10,218,#0d2b5c,#0d2b5c,Y
2026-09-25,아시아경제,정치,긍정,2,투자,30,13.76,10,218,#1e3d6c,#1e3d6c,Y
2026-09-25,아시아경제,정치,긍정,3,확대,25,11.47,10,218,#2f4f7d,#2f4f7d,Y
2026-09-25,아시아경제,정치,긍정,4,체결,17,7.8,10,218,#41628d,#41628d,Y
2026-09-25,아시아경제,정치,긍정,5,강화,17,7.8,10,218,#52749e,#52749e,Y
2026-09-25,아시아경제,정치,긍정,6,지원,14,6.42,10,218,#6387ae,#6387ae,Y
2026-09-25,아시아경제,정치,긍정,7,기대,8,3.67,10,218,#7499bf,#7499bf,Y
2026-09-25,아시아경제,정치,긍정,8,타결,8,3.67,10,218,#86accf,#86accf,Y
2026-09-25,아시아경제,정치,긍정,9,합의,8,3.67,10,218,#97bee0,#97bee0,Y
2026-09-25,아시아경제,정치,긍정,10,신설,7,3.21,10,218,#a8d0f0,#a8d0f0,Y
2026-09-25,아시아경제,정치,부정,1,수사,9,100.0,1,9,#7a0a12,#7a0a12,Y
