날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-25,아시아경제,주요뉴스,1,추석,29,중립
2026-09-25,아시아경제,주요뉴스,2,연휴,20,중립
2026-09-25,아시아경제,주요뉴스,3,세계,16,중립
2026-09-25,아시아경제,주요뉴스,4,숫자,16,중립
2026-09-25,아시아경제,주요뉴스,5,미국,16,중립
2026-09-25,아시아경제,주요뉴스,6,데이터,16,중립
2026-09-25,아시아경제,주요뉴스,7,남편,15,중립
2026-09-25,아시아경제,주요뉴스,8,확인,15,중립
2026-09-25,아시아경제,주요뉴스,9,사망자,14,중립
2026-09-25,아시아경제,주요뉴스,10,직원,14,중립
2026-09-25,아시아경제,주요뉴스,11,승리,14,긍정
2026-09-25,아시아경제,주요뉴스,12,원전,14,중립
2026-09-25,아시아경제,주요뉴스,13,아마존,13,중립
2026-09-25,아시아경제,주요뉴스,14,상어,13,중립
2026-09-25,아시아경제,주요뉴스,15,채용,12,긍정
2026-09-25,아시아경제,주요뉴스,16,전시,12,긍정
2026-09-25,아시아경제,주요뉴스,17,가족,12,중립
2026-09-25,아시아경제,주요뉴스,18,관람객,11,중립
2026-09-25,아시아경제,주요뉴스,19,엘니뇨,10,중립
2026-09-25,아시아경제,주요뉴스,20,수목원,10,중립
2026-09-25,아시아경제,주요뉴스,21,프로젝트,10,중립
2026-09-25,아시아경제,주요뉴스,22,대비,10,중립
2026-09-25,아시아경제,주요뉴스,23,시간,10,중립
2026-09-25,아시아경제,주요뉴스,24,공개,10,중립
2026-09-25,아시아경제,주요뉴스,25,인간,10,중립
2026-09-25,아시아경제,주요뉴스,26,작품,10,중립
2026-09-25,아시아경제,주요뉴스,27,공연,10,긍정
2026-09-25,아시아경제,주요뉴스,28,이혼,9,중립
2026-09-25,아시아경제,주요뉴스,29,인력,9,중립
2026-09-25,아시아경제,주요뉴스,30,대상,9,중립
2026-09-25,아시아경제,주요뉴스,31,차량,9,중립
2026-09-25,아시아경제,주요뉴스,32,포착,8,중립
2026-09-25,아시아경제,주요뉴스,33,호랑이,8,중립
2026-09-25,아시아경제,주요뉴스,34,여수,8,중립
2026-09-25,아시아경제,주요뉴스,35,투자,8,긍정
2026-09-25,아시아경제,주요뉴스,36,시장,8,중립
2026-09-25,아시아경제,주요뉴스,37,일부,8,중립
2026-09-25,아시아경제,주요뉴스,38,기업,8,중립
2026-09-25,아시아경제,주요뉴스,39,재산,8,중립
2026-09-25,아시아경제,주요뉴스,40,매장,8,중립
2026-09-25,아시아경제,주요뉴스,41,하우스오브레퓨즈,8,중립
2026-09-25,아시아경제,주요뉴스,42,국내,8,중립
2026-09-25,아시아경제,주요뉴스,43,화면,8,중립
2026-09-25,아시아경제,주요뉴스,44,작가,8,중립
2026-09-25,아시아경제,주요뉴스,45,소비,8,중립
2026-09-25,아시아경제,주요뉴스,46,시댁,7,중립
2026-09-25,아시아경제,주요뉴스,47,식당,7,중립
2026-09-25,아시아경제,주요뉴스,48,부캉이,7,중립
2026-09-25,아시아경제,주요뉴스,49,제주,7,중립
2026-09-25,아시아경제,주요뉴스,50,건물,7,중립
2026-09-25,아시아경제,주요뉴스,51,운행,7,중립
2026-09-25,아시아경제,주요뉴스,52,무료,7,중립
2026-09-25,아시아경제,주요뉴스,53,입장,7,중립
2026-09-25,아시아경제,주요뉴스,54,핵심,7,중립
2026-09-25,아시아경제,주요뉴스,55,국회,7,중립
2026-09-25,아시아경제,주요뉴스,56,평가,7,중립
2026-09-25,아시아경제,주요뉴스,57,부담,7,부정
2026-09-25,아시아경제,주요뉴스,58,영향,7,중립
2026-09-25,아시아경제,주요뉴스,59,운영,7,중립
2026-09-25,아시아경제,주요뉴스,60,전직,7,중립
2026-09-25,아시아경제,주요뉴스,61,움직임,7,중립
2026-09-25,아시아경제,주요뉴스,62,부부,7,중립
2026-09-25,아시아경제,주요뉴스,63,생활,7,중립
2026-09-25,아시아경제,주요뉴스,64,아내,7,중립
2026-09-25,아시아경제,주요뉴스,65,반복,7,중립
2026-09-25,아시아경제,주요뉴스,66,현장,7,중립
2026-09-25,아시아경제,주요뉴스,67,시민,7,중립
2026-09-25,아시아경제,주요뉴스,68,부산,7,중립
2026-09-25,아시아경제,주요뉴스,69,소리,7,중립
2026-09-25,아시아경제,주요뉴스,70,공간,7,중립
2026-09-25,아시아경제,주요뉴스,71,이케다,7,중립
2026-09-25,아시아경제,주요뉴스,72,소송,6,부정
2026-09-25,아시아경제,주요뉴스,73,백두대간,6,중립
2026-09-25,아시아경제,주요뉴스,74,의장,6,중립
2026-09-25,아시아경제,주요뉴스,75,규모,6,중립
2026-09-25,아시아경제,주요뉴스,76,지역,6,중립
2026-09-25,아시아경제,주요뉴스,77,사이,6,중립
2026-09-25,아시아경제,주요뉴스,78,방문,6,중립
2026-09-25,아시아경제,주요뉴스,79,확보,6,긍정
2026-09-25,아시아경제,주요뉴스,80,회사,6,중립
2026-09-25,아시아경제,주요뉴스,81,참여,6,긍정
2026-09-25,아시아경제,주요뉴스,82,통장,6,중립
2026-09-25,아시아경제,주요뉴스,83,명절,6,중립
2026-09-25,아시아경제,주요뉴스,84,분할,6,중립
2026-09-25,아시아경제,주요뉴스,85,경찰,6,중립
2026-09-25,아시아경제,주요뉴스,86,내부,6,중립
2026-09-25,아시아경제,주요뉴스,87,친수,6,중립
2026-09-25,아시아경제,주요뉴스,88,공원,6,중립
2026-09-25,아시아경제,주요뉴스,89,관객,6,중립
